no,user,time,login,getPlaceType,getPlaces,getReviews
2,User-2,Thu Jun 27 14:41:06 2013,0.35721057438581594,3.7057050976569457,0.6446276569203917,1.8875207813423174
20,User-20,Thu Jun 27 14:41:06 2013,3.5456422998573234,2.715162371072509,0.6823092292662238,8.333021417347226
14,User-14,Thu Jun 27 14:41:06 2013,3.609524815037918,1.7564582156718274,0.6860153407706093,9.969959887218522
19,User-19,Thu Jun 27 14:41:06 2013,3.5648569513273665,0.7450202516395521,0.6666256885231974,10.019768579550515
16,User-16,Thu Jun 27 14:41:06 2013,2.723782244074018,5.634934638655935,0.46175762970847245,10.280901557723865
3,User-3,Thu Jun 27 14:41:06 2013,0.36424820895382076,0.3635243421019325,0.675345355356427,10.315521339609262
1,User-1,Thu Jun 27 14:41:06 2013,3.1536477899643565,0.38128547471853125,4.550971145842908,16.542493009008183
21,User-21,Thu Jun 27 14:41:06 2013,3.6095052901577973,5.4377210559922915,2.3437911965931164,16.912517689902955
10,User-10,Thu Jun 27 14:41:06 2013,1.6974677676770673,5.697493800850559,3.4203822393012615,16.995335723082263
32,User-32,Thu Jun 27 14:41:06 2013,0.36544862750940155,0.6060146754784057,0.3652287918221191,16.977864571092624
13,User-13,Thu Jun 27 14:41:06 2013,2.7481832822191254,5.631674706819467,3.3609716448120537,16.9906446898473
4,User-4,Thu Jun 27 14:41:06 2013,0.35995345847094157,0.381695497201072,2.037152954295152,18.218150762446555
25,User-25,Thu Jun 27 14:41:06 2013,3.808915060263182,0.6140661575252864,4.559199798098263,22.33630448978235
9,User-9,Thu Jun 27 14:41:06 2013,0.35490374595672275,5.361704912532154,0.4509343378281585,22.625909082034127
22,User-22,Thu Jun 27 14:41:06 2013,3.589689706266257,5.43226204413925,2.3423514174701268,23.50808076936707
17,User-17,Thu Jun 27 14:41:06 2013,3.5518461497297973,0.36135129525884935,0.34978461164649843,23.517512732752863
7,User-7,Thu Jun 27 14:41:06 2013,0.35144494960049927,5.577469300741733,3.361255840289374,23.663325983782812
18,User-18,Thu Jun 27 14:41:06 2013,3.565188151145713,0.3602354845171334,0.47818817790204093,23.662268024537724
11,User-11,Thu Jun 27 14:41:06 2013,2.8142648774162944,5.579959807672701,4.61385933842476,23.951649888527413
6,User-6,Thu Jun 27 14:41:06 2013,0.35101467909413236,2.7211651869941136,3.4155509161869304,23.979334722251366
5,User-5,Thu Jun 27 14:41:06 2013,0.3609781531054322,1.743017143567883,1.403441874793458,23.975246067725266
34,User-34,Thu Jun 27 14:41:07 2013,3.806579306085766,0.5246899340565108,0.420769844328845,23.94455801818131
15,User-15,Thu Jun 27 14:41:06 2013,2.7702796613662644,3.728042283658901,4.61715398115922,23.962621424867905
37,User-37,Thu Jun 27 14:41:07 2013,0.4055230823855922,3.9002126765645926,1.857004840000826,21.63697679648783
29,User-29,Thu Jun 27 14:41:06 2013,3.8089541100234214,0.42355322446164223,0.21113337590239212,21.70942567203548
36,User-36,Thu Jun 27 14:41:07 2013,0.3837853825177149,4.465131095107154,5.33907919219061,21.7171647560005
35,User-35,Thu Jun 27 14:41:07 2013,5.659191048059405,3.9045616628255857,2.8628384402947233,21.73554779220609
8,User-8,Thu Jun 27 14:41:06 2013,0.6059177742215178,3.8857411246764855,1.8527137052365106,21.70347709189201
12,User-12,Thu Jun 27 14:41:06 2013,1.6907157748737933,5.6541977407544195,5.303917052524099,21.72685415854636
26,User-26,Thu Jun 27 14:41:06 2013,2.7283445577289314,4.3513082754396635,0.22304138334499157,21.715276627778394
30,User-30,Thu Jun 27 14:41:06 2013,5.619522999947208,0.45646783348314557,2.8578610421513133,21.74681364803581
33,User-33,Thu Jun 27 14:41:07 2013,3.8231450821527417,2.0110908550523448,4.119126355623251,24.143254768590396
31,User-31,Thu Jun 27 14:41:06 2013,3.7741947614023417,4.1586237418203496,4.102290846953139,24.11740455045407
39,User-39,Thu Jun 27 14:41:07 2013,5.751031745285651,0.17117100830097343,3.2489552381275644,21.607998258669966
28,User-28,Thu Jun 27 14:41:06 2013,2.73620729926796,4.374846603140895,5.272907204029934,24.625548233323798
40,User-40,Thu Jun 27 14:41:07 2013,0.3631374602180628,0.36674594732187416,4.125986819982813,24.6189951050402
24,User-24,Thu Jun 27 14:41:06 2013,5.722283167166964,0.44521571738386,0.20244046538635985,23.569618129502032
27,User-27,Thu Jun 27 14:41:06 2013,0.39462096784107814,0.43855628697522775,5.262946622593461,26.621112469817774
38,User-38,Thu Jun 27 14:41:07 2013,1.9678909730693874,0.15887901154934525,4.710435903795883,20.049301045448885
23,User-23,Thu Jun 27 14:41:06 2013,3.780465863639691,3.4199519687948907,3.8333833507731754,23.610266760482546
