no,user,time,login,getPlaceType,getPlaces,getReviews
5,User-5,Thu Jun 27 14:28:00 2013,0.2530775410911305,0.12587419667192395,0.13792475056785275,2.8211276639902922
2,User-2,Thu Jun 27 14:28:00 2013,0.26352632009030685,0.11744661895329978,0.11981927061751863,2.881609671683151
1,User-1,Thu Jun 27 14:28:00 2013,3.3619403821552876,0.08962852562225176,0.10812233655206915,3.879971016190582
3,User-3,Thu Jun 27 14:28:00 2013,3.38427266764581,0.10347176573445571,0.11903826976492615,3.836641378148319
4,User-4,Thu Jun 27 14:28:00 2013,3.3818327631303964,0.10892430872385184,0.1318228198325042,3.8321477306501612
